game_id,game_name,col_names
268008982663269,魔术师终极,"c(""round"", ""stim"", ""side"", ""type"", ""cresp"", ""resp"", ""device"", ""acc"", ""rt"")"
324179001000709,平面展开,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982642793,强化学习,"c(""phase"", ""block"", ""trial"", ""left"", ""right"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device "")"
268008982642793,强化学习,"c(""phase"", ""block"", ""trial"", ""left"", ""right"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
268008982655072,青少年心理韧性量表,"c(""titlelength"", ""itemid"", ""numalts"", ""rt"", ""cresp"", ""resp"", ""score"", ""acc"", ""device"")"
380174879445893,人工词典A,"c(""concept"", ""word"", ""acc"", ""rt"")"
380175342101381,人工词典B,"c(""concept"", ""word"", ""acc"", ""rt"")"
384311706735365,人工语言-高级,"c(""trial"", ""type"", ""content"", ""repeat"", ""cresp"", ""resp"", ""correctness"", ""device"")"
268008982646872,人工语言-中级,"c(""trial"", ""type"", ""content"", ""repeat"", ""cresp"", ""resp"", ""correctness"", ""device"")"
265520726213317,瑞文高级推理,"c(""block"", ""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982659144,三维心理旋转测试A,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982663256,三维心理旋转测试B,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
375934626087813,色彩检测,"c(""trial"", ""numtarget"", ""numdist"", ""cresp"", ""resp"", ""device"", ""acc"", ""rt"")"
375934626087813,色彩检测,"c(""block"", ""trial"", ""numtarget"", ""cresp"", ""resp"", ""device"", ""acc"", ""rt"")"
381576542159749,社交达人,"c(""phase"", ""trial"", ""faceid"", ""opts"", ""cresp"", ""device"", ""resp"", ""acc"", ""rt"")"
268008982667391,声调判断,"c(""stim"", ""cresp"", ""device"", ""resp"", ""acc"", ""rt"")"
383366895919877,时间记忆任务,"c(""trial"", ""device"", ""videotimeleft"", ""videotimeright"", ""resptimeleft"", ""resptimeright"", ""rt"", ""acc"")"
239263162577477,时间顺序判断,"c(""block"", ""trial"", ""soa"", ""first"", ""last"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
239264243732549,时长分辨,"c(""block"", ""trial"", ""variatime"", ""left"", ""right"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
380173961339781,事件记忆,"c(""trial"", ""pic"", ""cresp"", ""resp"", ""acc"", ""rt"")"
380173961339781,事件记忆,"c(""trial"", ""pic"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
324179964613381,视角判断,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
324182449562501,视觉记忆测试,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
324181013119877,视觉记忆学习,"c(""ItemID"", ""NumAlts"", ""CResp"", ""Resp"", ""Device"", ""ACC"", ""Score"", ""RT"", ""score"")"
383366399832965,视频观看,"c(""choice"", ""device"")"
268008982667380,舒尔特方格（中级）,"c(""block"", ""size"", ""resp"", ""acc"", ""rt"", ""device"")"
268008982655059,数感,"c(""stim"", ""id"", ""bigsetcount"", ""smallsetcount"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
268008982655059,数感,"c(""trial"", ""stim"", ""smallsetcount"", ""bigsetcount"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
268008982659159,数字大小比较,"c(""stim"", ""small"", ""big"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
225191359021253,数字卡片PRO,"c(""block"", ""trial"", ""load"", ""card"", ""type"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
355740871500677,数字推理,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982650987,数字推理A,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
268008982663265,数字推理B,"c(""itemid"", ""numalts"", ""cresp"", ""resp"", ""device"", ""acc"", ""score"", ""rt"")"
383791726646021,睡眠类型,"c(""titlelength"", ""itemid"", ""numalts"", ""rt"", ""cresp"", ""resp"", ""score"", ""acc"", ""device"")"
383795602420485,睡眠信念和态度,"c(""titlelength"", ""itemid"", ""numalts"", ""rt"", ""cresp"", ""resp"", ""score"", ""acc"", ""device"")"
268008982655090,顺背数PRO,"c(""slen"", ""stim"", ""resp"", ""correctness"", ""outcome"", ""rt"", ""device"")"
268008982659166,速算师（中级）,"c(""block"", ""type"", ""left"", ""right"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
268008982659166,速算师（中级）,"c(""block"", ""type"", ""left"", ""right"", ""cresp"", ""device"", ""resp"", ""rt"", ""acc"")"
349294460711685,速算师（中级）,"c(""block"", ""type"", ""left"", ""right"", ""cresp"", ""device"", ""resp"", ""rt"", ""acc"")"
375903641948933,随机应变,"c(""block"", ""trial"", ""letter"", ""number"", ""flip"", ""task"", ""tasktype"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
268008982655053,塔罗牌,"c(""block"", ""trial"", ""pattern"", ""optimal"", ""outcome"", ""resp"", ""acc"", ""rt"", ""device"")"
224379118576069,太空飞船PRO,"c(""block"", ""trial"", ""target"", ""distractor"", ""type"", ""cresp"", ""resp"", ""acc"", ""rt"", ""device"")"
381560965628805,天马行空,"c(""words"", ""time"")"
268008982671439,图片记忆A,"c(""phase"", ""stimid"", ""sim"", ""device"", ""resp"", ""rt"", ""type"", ""cresp"", ""acc"")"
